Anexo III,,,,,,,,,,,,,,,,
Tabela I,,,,,,,,,,,,,,,2285,
Tabela Nacional Grupos de Diagnóstico Homogéneo,,,,,,,,,,,,,,,,
All Patient Refined DRG,,,,,,,,,,,,,,,,
Preço base nacional,,2285,,,,,,,,,,,,,,
A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,
GDH,Designação ,Nivel de severidade,Tipo GDH    ,Peso Relativo (INT),Preço de internamento,Peso Relativo (AMB),Preço em Ambulatório ,Diária de Internamento ,GDH Cirurgicos Preço 1º dia de internamento,Limiar Inferior,Limiar Superior,Limiar Máximo,Demora Média Pura,Preço de internamento SIGIC/SIGA,Preço em Ambulatório SIGIC/SIGA,
GCD 0,(Pré-Grandes Categorias Diagnósticas),,,,,,,,,,,,,,,
1,Transplante hepático e/ou transplante intestinal,1,C,5.9867,13679.6095,-,-,3418.8068089,10013.474154,4,32,46,17.32,13679.6095,-,
1,Transplante hepático e/ou transplante intestinal,2,C,7.026,16054.41,-,-,4012.316742,11751.82812,4,43,63,19.24,16054.41,-,
1,Transplante hepático e/ou transplante intestinal,3,C,10.5778,24170.273,-,-,3451.7900072,17692.639836,7,63,91,33,24170.273,-,
1,Transplante hepático e/ou transplante intestinal,4,C,25.3225,57861.9125,-,-,4131.669745,42354.91995,14,79,112,49.96,57861.9125,-,
2,Transplante cardíaco e/ou transplante de pulmão,1,C,10.5728,24158.848,-,-,2683.45652337778,17684.276736,9,65,93,35.17,24158.848,-,
2,Transplante cardíaco e/ou transplante de pulmão,2,C,13.3152,30425.232,-,-,3379.49836373333,22271.269824,9,74,107,44.15,30425.232,-,
2,Transplante cardíaco e/ou transplante de pulmão,3,C,18.0496,41243.336,-,-,3171.54797636923,30190.121952,13,88,126,58.36,41243.336,-,
2,Transplante cardíaco e/ou transplante de pulmão,4,C,42.9595,98162.4575,-,-,4266.565702,71854.91889,23,125,176,97.23,98162.4575,-,
3,Transplante de medula óssea,1,C,7.4403,17001.0855,7.4403,17001.0855,-,-,1,43,62,23.85,17001.0855,17001.0855,
3,Transplante de medula óssea,2,C,9.4077,21496.5945,9.4077,21496.5945,-,-,1,44,63,25.75,21496.5945,21496.5945,
3,Transplante de medula óssea,3,C,14.0626,32133.041,-,-,4588.9638824,23521.386012,7,60,87,30.75,32133.041,-,
3,Transplante de medula óssea,4,C,42.5913,97321.1205,-,-,8107.4953057,71239.060206,12,84,120,55.36,97321.1205,-,
4,Traqueostomia com ventilação mecânica >96h com procedimentos extensos ou oxigenação por membrana extra-corporal,1,C,8.2223,18787.9555,-,-,3756.38735528,13752.783426,5,53,77,23.8,18787.9555,-,
4,Traqueostomia com ventilação mecânica >96h com procedimentos extensos ou oxigenação por membrana extra-corporal,2,C,13.3808,30575.128,-,-,3820.6666568,22380.993696,8,72,104,42.01,30575.128,-,
4,Traqueostomia com ventilação mecânica >96h com procedimentos extensos ou oxigenação por membrana extra-corporal,3,C,22.1361,50580.9885,-,-,3370.98565832,37025.283582,15,100,143,70.76,50580.9885,-,
4,Traqueostomia com ventilação mecânica >96h com procedimentos extensos ou oxigenação por membrana extra-corporal,4,C,33.7443,77105.7255,-,-,4056.89603538947,56441.391066,19,113,160,83.79,77105.7255,-,
5,Traqueostomia com ventilação mecânica >96h sem procedimentos extensos ,1,C,12.4545,28458.5325,-,-,2188.41660046154,20831.64579,13,102,147,72.5,28458.5325,-,
5,Traqueostomia com ventilação mecânica >96h sem procedimentos extensos ,2,C,13.7029,31311.1265,-,-,2407.77661363077,22919.744598,13,102,147,50.13,31311.1265,-,
5,Traqueostomia com ventilação mecânica >96h sem procedimentos extensos ,3,C,15.8959,36322.1315,-,-,2593.6068358,26587.800258,14,102,146,57.41,36322.1315,-,
5,Traqueostomia com ventilação mecânica >96h sem procedimentos extensos ,4,C,23.9256,54669.996,-,-,3415.7801538,40018.437072,16,102,145,69.79,54669.996,-,
6,Transplante de pâncreas,1,C,3.3256,7598.996,-,-,1899.1404152,5562.465072,4,8,10,14.95,7598.996,-,
6,Transplante de pâncreas,2,C,4.3226,9877.141,-,-,3291.32561893333,7230.067212,3,26,38,14.95,9877.141,-,
6,Transplante de pâncreas,3,C,6.1063,13952.8955,-,-,2789.68513768,10213.519506,5,50,73,20.55,13952.8955,-,
6,Transplante de pâncreas,4,C,28.5196,65167.286,-,-,2505.63114049231,47702.453352,26,105,145,105,65167.286,-,
,,,,,,,,,,,,,,,-,
GCD 1,Doenças e Perturbações do Sistema Nervoso,,,,,,,,,,,,,,-,
20,Craniotomia por traumatismo,1,C,2.2002,5027.457,-,-,2512.9232268,3680.098524,2,34,50,11.04,4494.20610745875,-,
20,Craniotomia por traumatismo,2,C,3.5516,8115.406,-,-,2704.26874293333,5940.477192,3,48,71,17.63,8115.406,-,
20,Craniotomia por traumatismo,3,C,5.5394,12657.529,-,-,3163.3685398,9265.311228,4,53,78,24.41,12657.529,-,
20,Craniotomia por traumatismo,4,C,11.5569,26407.5165,-,-,4399.8428082,19330.302078,6,61,89,31.83,26407.5165,-,
21,Craniotomia exceto por traumatismo,1,C,2.0703,4730.6355,2.0703,4730.6355,-,-,1,32,47,11.44,4730.6355,4730.6355,
21,Craniotomia exceto por traumatismo,2,C,3.0765,7029.8025,-,-,2342.516834,5145.81543,3,45,66,15.34,5520.20898891429,-,
21,Craniotomia exceto por traumatismo,3,C,6.1573,14069.4305,-,-,2344.15389273333,10298.823126,6,58,84,28.29,14069.4305,-,
21,Craniotomia exceto por traumatismo,4,C,14.3519,32794.0915,-,-,3642.62065657778,24005.274978,9,70,101,39.82,32794.0915,-,
22,Procedimentos de shunt ventricular,1,C,1.0869,2483.5665,1.0869,2483.5665,-,-,1,25,37,8.96,2980.2798,2483.5665,
22,Procedimentos de shunt ventricular,2,C,2.0595,4705.9575,-,-,1568.149982,3444.76089,3,46,68,16.26,4705.9575,-,
22,Procedimentos de shunt ventricular,3,C,5.1888,11856.408,-,-,2370.52195968,8678.890656,5,55,80,25.2,11856.408,-,
22,Procedimentos de shunt ventricular,4,C,15.0252,34332.582,-,-,3120.14395941818,25131.450024,11,84,121,55.14,34332.582,-,
23,Procedimentos vertebrais,1,C,1.1271,2575.4235,1.1271,2575.4235,-,-,1,24,36,8.98,3090.5082,2575.4235,
23,Procedimentos vertebrais,2,C,2.4502,5598.707,2.4502,5598.707,-,-,1,51,75,21.3,5598.707,5598.707,
23,Procedimentos vertebrais,3,C,5.945,13584.325,-,-,1939.99618,9943.7259,7,64,93,34.7,13584.325,-,
23,Procedimentos vertebrais,4,C,12.7235,29073.1975,-,-,3632.98548725,21281.58057,8,68,98,38.18,29073.1975,-,
24,Procedimentos vasculares extracranianos,1,C,1.0388,2373.658,1.0388,2373.658,-,-,1,9,13,4.66,2497.10749914231,2331.73786973629,
24,Procedimentos vasculares extracranianos,2,C,1.534,3505.19,1.534,3505.19,-,-,1,24,36,7.65,3505.19,3505.19,
24,Procedimentos vasculares extracranianos,3,C,3.7949,8671.3465,3.7949,8671.3465,-,-,1,48,70,18.69,8671.3465,8671.3465,
24,Procedimentos vasculares extracranianos,4,C,11.2755,25764.5175,-,-,3219.53297925,18859.62681,8,72,104,45.44,25764.5175,-,
26,Outros procedimentos no sistema nervoso e procedimentos relacionados,1,C,0.8636,1973.326,0.8636,1973.326,-,-,1,4,6,2.1,1381.3282,1381.3282,
26,Outros procedimentos no sistema nervoso e procedimentos relacionados,2,C,1.2505,2857.3925,1.2505,2857.3925,-,-,1,16,24,6.58,2857.3925,2857.3925,
26,Outros procedimentos no sistema nervoso e procedimentos relacionados,3,C,3.4485,7879.8225,-,-,1969.3245495,5768.03007,4,57,84,28.99,7879.8225,-,
26,Outros procedimentos no sistema nervoso e procedimentos relacionados,4,C,13.5723,31012.7055,-,-,3875.34632205,22701.300426,8,72,104,43.04,31012.7055,-,
40,Perturbações e/ou lesões traumáticas raquidianas,1,M,0.9706,2217.821,-,-,1108.9105,-,1,32,48,9.17,-,-,
40,Perturbações e/ou lesões traumáticas raquidianas,2,M,1.5715,3590.8775,-,-,1196.95916666667,-,2,44,65,13.69,-,-,
40,Perturbações e/ou lesões traumáticas raquidianas,3,M,2.6997,6168.8145,-,-,881.259214285714,-,6,60,87,29.77,-,-,
40,Perturbações e/ou lesões traumáticas raquidianas,4,M,9.413,21508.705,-,-,3072.67214285714,-,6,62,90,35.5,-,-,
41,Doenças malignas do sistema nervoso,1,M,0.7355,1680.6175,-,-,840.30875,-,1,26,39,8.23,-,-,
41,Doenças malignas do sistema nervoso,2,M,1.0467,2391.7095,-,-,797.2365,-,2,36,53,10.88,-,-,
41,Doenças malignas do sistema nervoso,3,M,2.3466,5361.981,-,-,1072.3962,-,4,49,72,19.68,-,-,
41,Doenças malignas do sistema nervoso,4,M,4.5112,10308.092,-,-,1718.01533333333,-,5,54,79,24.76,-,-,
42,Perturbações degenerativas do sistema nervoso exceto esclerose múltipla,1,M,0.5695,1301.3075,0.126363238512035,288.74,506.28375,-,1,32,48,9.24,-,-,
42,Perturbações degenerativas do sistema nervoso exceto esclerose múltipla,2,M,0.9026,2062.441,0.126363238512035,288.74,886.8505,-,1,45,67,15.84,-,-,
42,Perturbações degenerativas do sistema nervoso exceto esclerose múltipla,3,M,1.6468,3762.938,-,-,940.7345,-,3,52,77,22.78,-,-,
42,Perturbações degenerativas do sistema nervoso exceto esclerose múltipla,4,M,3.5024,8002.984,-,-,2000.746,-,3,52,77,20.03,-,-,
43,Esclerose múltipla e outras doenças desmielinizantes,1,M,0.5485,1253.3225,-,-,626.66125,-,1,16,24,4.9,-,-,
43,Esclerose múltipla e outras doenças desmielinizantes,2,M,0.8151,1862.5035,-,-,620.8345,-,2,25,37,10.62,-,-,
43,Esclerose múltipla e outras doenças desmielinizantes,3,M,1.4614,3339.299,-,-,667.8598,-,4,47,69,17.77,-,-,
43,Esclerose múltipla e outras doenças desmielinizantes,4,M,5.049,11536.965,-,-,1153.6965,-,9,82,119,52.83,-,-,
44,Hemorragia intracraniana,1,M,1.0927,2496.8195,-,-,832.273166666667,-,2,33,49,10.09,2496.8195,-,
44,Hemorragia intracraniana,2,M,1.605,3667.425,-,-,916.85625,-,3,43,63,13.99,3667.425,-,
44,Hemorragia intracraniana,3,M,2.4803,5667.4855,-,-,1416.871375,-,3,45,66,15.41,5667.4855,-,
44,Hemorragia intracraniana,4,M,5.3169,12149.1165,-,-,3037.279125,-,3,49,72,20.09,12149.1165,-,
45,Acidente vascular cerebral e/ou oclusão pré-cerebral com enfarte,1,M,0.6137,1402.3045,-,-,701.15225,-,1,22,33,8.01,1402.3045,-,
45,Acidente vascular cerebral e/ou oclusão pré-cerebral com enfarte,2,M,0.8714,1991.149,-,-,663.716333333333,-,2,29,43,10.95,1991.149,-,
